producto,presentacion,marca,categoria,precio,cadena_comercial,nombre_comercial,direccion,estado,municipio,fechaRegistro,latitud,longitud,url
Huevo,18 piezas,Genérica,Básicos,59.00,Walmart Online,Walmart En Línea,Entrega a domicilio,Yucatán,Mérida,2026-05-10,,,https://www.walmart.com.mx/
Leche,1 litro,Lala,Lácteos,30.50,Chedraui Online,Chedraui En Línea,Entrega a domicilio,Yucatán,Mérida,2026-05-10,,,https://www.chedraui.com.mx/
Arroz,1 kg,Genérico,Básicos,29.50,Bodega Aurrera Online,Bodega Aurrera En Línea,Entrega a domicilio,Yucatán,Mérida,2026-05-10,,,https://www.bodegaaurrera.com.mx/
Frijol negro,1 kg,Genérico,Básicos,44.00,Walmart Online,Walmart En Línea,Entrega a domicilio,Yucatán,Mérida,2026-05-10,,,https://www.walmart.com.mx/
Tortilla de maíz,1 kg,Genérica,Básicos,25.00,Chedraui Online,Chedraui En Línea,Entrega a domicilio,Yucatán,Mérida,2026-05-10,,,https://www.chedraui.com.mx/
Pechuga de pollo,1 kg,Genérica,Carnes,111.00,Walmart Online,Walmart En Línea,Entrega a domicilio,Yucatán,Mérida,2026-05-10,,,https://www.walmart.com.mx/
Atún en agua,140 g,Tuny,Enlatados,21.50,Chedraui Online,Chedraui En Línea,Entrega a domicilio,Yucatán,Mérida,2026-05-10,,,https://www.chedraui.com.mx/
Pasta espagueti,200 g,La Moderna,Básicos,12.00,Soriana Online,Soriana En Línea,Entrega a domicilio,Yucatán,Mérida,2026-05-10,,,https://www.soriana.com/
Lenteja,500 g,Genérica,Básicos,26.50,Bodega Aurrera Online,Bodega Aurrera En Línea,Entrega a domicilio,Yucatán,Mérida,2026-05-10,,,https://www.bodegaaurrera.com.mx/
Avena,400 g,Quaker,Cereales,39.90,Walmart Online,Walmart En Línea,Entrega a domicilio,Yucatán,Mérida,2026-05-10,,,https://www.walmart.com.mx/
Plátano,1 kg,Genérico,Frutas,25.50,Chedraui Online,Chedraui En Línea,Entrega a domicilio,Yucatán,Mérida,2026-05-10,,,https://www.chedraui.com.mx/
Jitomate,1 kg,Genérico,Verduras,32.00,Walmart Online,Walmart En Línea,Entrega a domicilio,Yucatán,Mérida,2026-05-10,,,https://www.walmart.com.mx/
Cebolla blanca,1 kg,Genérica,Verduras,27.50,Bodega Aurrera Online,Bodega Aurrera En Línea,Entrega a domicilio,Yucatán,Mérida,2026-05-10,,,https://www.bodegaaurrera.com.mx/
Zanahoria,1 kg,Genérica,Verduras,22.50,Chedraui Online,Chedraui En Línea,Entrega a domicilio,Yucatán,Mérida,2026-05-10,,,https://www.chedraui.com.mx/
Queso Oaxaca,400 g,Esmeralda,Lácteos,74.00,Walmart Online,Walmart En Línea,Entrega a domicilio,Yucatán,Mérida,2026-05-10,,,https://www.walmart.com.mx/
Jamón de pavo,250 g,Fud,Embutidos,50.50,Soriana Online,Soriana En Línea,Entrega a domicilio,Yucatán,Mérida,2026-05-10,,,https://www.soriana.com/
Mayonesa,390 g,McCormick,Abarrotes,46.50,Walmart Online,Walmart En Línea,Entrega a domicilio,Yucatán,Mérida,2026-05-10,,,https://www.walmart.com.mx/
Tostadas,280 g,Milpa Real,Básicos,39.00,Chedraui Online,Chedraui En Línea,Entrega a domicilio,Yucatán,Mérida,2026-05-10,,,https://www.chedraui.com.mx/
Bolillo,1 pieza,Panadería,Básicos,5.00,Soriana Online,Soriana En Línea,Entrega a domicilio,Yucatán,Mérida,2026-05-10,,,https://www.soriana.com/
